Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Dwight Buycks,PG,28,DET,29,0,427,6.9,16.7,0.414,1.3,3.8,0.333,5.6,12.9,0.438,3,3.5,0.878,1,2.4,3.5,5,1.6,0.2,3.3,3.3,18.1,12.8,0.498,0.227,0.207,3,7.7,5.3,22.4,2.2,0.4,26.4,-0.2,0.4,0.3,0.028,-2.5,-1.7,-4.2,-0.2
2017,Bruno Caboclo,SF,22,TOT,10,0,94,3.4,11.5,0.3,1.1,6.5,0.176,2.3,5,0.462,1.9,2.3,0.833,2.7,4.6,7.3,1.9,1.1,1.5,1.5,3.1,10,8.8,0.398,0.567,0.2,8.1,15.2,11.5,7.3,1.6,4,17.5,-0.1,0.1,0,-0.015,-3.8,-0.2,-4,0
2017,Bruno Caboclo,SF,22,TOR,2,0,7,0,10.3,0,0,10.3,0,0,0,,0,0,,0,5.1,5.1,5.1,5.1,0,0,5.1,0,-0.1,0,1,0,0,15.8,8,16.7,7,0,12.5,0,0,0,-0.114,-6.7,4.2,-2.5,0
2017,Bruno Caboclo,SF,22,SAC,8,0,87,3.7,11.6,0.321,1.2,6.2,0.2,2.5,5.4,0.462,2.1,2.5,0.833,2.9,4.6,7.4,1.7,0.8,1.7,1.7,2.9,10.8,9.6,0.424,0.536,0.214,8.8,15.1,11.8,6.5,1.2,4.4,17.9,-0.1,0.1,0,-0.007,-3.6,-0.5,-4.1,0
2017,Jose Calderon,PG,36,CLE,53,30,840,3.5,7,0.503,1.7,3.6,0.47,1.8,3.4,0.538,0.9,1.2,0.786,0.5,2.7,3.2,4.7,1.1,0,1.7,3.2,9.6,10.9,0.642,0.509,0.172,1.6,8.3,5,17.6,1.5,0.1,11.3,1.3,0.3,1.6,0.089,-0.2,-2,-2.2,0
2017,Kentavious Caldwell-Pope,SG,24,LAL,67,67,2260,5,11.7,0.426,2.4,6.1,0.387,2.6,5.5,0.468,2.2,2.8,0.776,0.9,4.9,5.8,2.3,1.6,0.2,1.4,2.1,14.5,13.2,0.561,0.525,0.237,2.7,14.5,8.6,9.2,2.1,0.5,16.8,2.4,2.5,4.9,0.104,0.6,0.4,1,1.7
2017,Isaiah Canaan,PG-SG,26,TOT,20,1,422,4.4,11.7,0.38,1.9,5.6,0.333,2.6,6.1,0.423,3.9,4.4,0.902,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.7,13.5,0.539,0.482,0.372,1.5,10.1,5.7,26.7,1.8,0.2,18.9,0.5,0.1,0.6,0.071,0.1,-2.5,-2.4,0
2017,Isaiah Canaan,SG,26,HOU,1,0,4,0,9,0,0,0,,0,9,0,0,0,,0,9,9,0,0,0,0,0,0,-7.3,0,0,0,0,28,14.1,0,0,0,11,0,0,0,-0.223,-17.2,-3.9,-21.2,0
2017,Isaiah Canaan,PG,26,PHO,19,1,418,4.5,11.7,0.382,1.9,5.7,0.333,2.6,6,0.429,4,4.4,0.902,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.8,13.7,0.543,0.485,0.375,1.5,9.9,5.6,27,1.8,0.2,19,0.5,0.1,0.6,0.074,0.3,-2.5,-2.3,0
2017,Clint Capela,C,23,HOU,69,69,1901,7.9,12,0.653,0,0,0,7.9,12,0.654,2.5,4.5,0.556,4.3,9.9,14.3,1.3,1,2.5,1.9,3.4,18.2,24.5,0.65,0.002,0.376,13.7,30.9,22.4,6,1.4,5.8,19.5,5.7,3.8,9.5,0.241,0.2,3,3.2,2.5
